day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token1Balance,token0PriceUSD,token1PriceUSD,outputTokenSupply,outputTokenPriceUSD,dailyLPFeeROI,dailyCRVRewardROI,dailyOPRewardROI
19357,58460189,1672530493,11746981.893919941,19430.719972595564188041145179,3.8861439945191128376082290358,4465.921343538834,5359.4029023578105,1194.804599,1196.23,9791.91888971421,1199.660865885991,3.310495768412145e-07,1.5755040953343821e-21,4.2188446558951706e-18
19358,58840346,1672617454,11306258.734197207,1491.819864798950277727030051,0.2983639729597900555454060102,4468.257377934853,4967.07907097149,1197.187112,1199.28,9403.475453458239,1202.3489389807676,2.6414318689453958e-08,1.6494917543234144e-21,4.415290703199799e-18
19359,59235634,1672702215,11487333.64455478,4052.473953434690446299867774,0.8104947906869380892599735548,4468.72529095859,4972.9861187738825,1218.266306,1215.212761,9409.821659759926,1220.781228371108,7.046898483217313e-08,1.652240077491284e-21,4.504620983811983e-18
19360,59745772,1672790356,10885035.266329132,23920.2765479883369270732467905,4.7840553095976673854146493581,4212.127313113687,4754.161253824036,1213.330448,1214.585,8935.910900941073,1218.1226275636645,4.397563382254112e-07,1.7169635353501764e-21,4.7512113016285135e-18
19361,60271774,1672876325,11191597.423952997,597701.1029781505259181626643755,119.5402205956301051836325328751,4553.496878182143,4367.106547059235,1252.812414,1256.42,8890.406780819976,1258.8397471415562,1.0696489606726866e-05,1.736768130730559e-21,4.9784030933039115e-18
19362,60784586,1672962430,11457820.96265214,75992.2217446118303596960907725,15.1984443489223660719392181545,4585.707420691469,4582.567985822801,1249.643627,1249.805988,9137.165312589883,1253.9798253255503,1.3259585258286596e-06,1.640527796628356e-21,4.609505238017031e-18
19363,61417483,1673049250,11616177.019686718,4120.9086462255005974970234335,0.8241817292451001194994046867,4572.411811373407,4593.629911158988,1265.251935,1269.35,9134.934127981262,1271.621322818864,7.106507620970814e-08,1.627903487043771e-21,4.8340765743242645e-18
19364,62109436,1673135783,11201216.247300994,5806.5699108624397912408321025,1.1613139821724879582481664205,4557.012161832267,4318.6396290271905,1260.657379,1263.45,8845.486844043997,1266.3199261715254,1.0377132674383304e-07,1.7011835745117974e-21,5.059506236457761e-18
19365,62698573,1673220172,11602777.80342983,717.0740989407917828022979,0.14341481978815835656045958,4554.997840903464,4489.767207415977,1279.757678,1285.920645,9014.00913538122,1287.1939254961856,1.2388721039276625e-08,1.6470466888314964e-21,5.5314715370787315e-18
19366,63354640,1673308768,13364001.491509419,22965.4410363988316121912228215,4.5930882072797663224382445643,4833.650181594751,5284.834356025026,1320.132991,1321.3168,10083.992582817338,1325.268873588926,3.438527424441521e-07,1.6845718893064894e-21,4.8425183073403334e-18
19367,63951715,1673395172,14570013.360553589,322953.776473330533481526963714,64.5907552946661066963053927428,5298.297396517252,5622.640628863988,1333.505031,1334.73,10883.604657851905,1338.712110425855,4.435223095435382e-06,1.5493162274290193e-21,4.480507544602657e-18
19368,64560293,1673480733,15310314.372335024,3748.4027566950671001994552175,0.7496805513390134200398910435,5351.007264657427,5686.159060438692,1385.971399,1388.27832,10999.41256617553,1391.921093987875,4.904628096872077e-08,1.5237661846966071e-21,4.351636696272928e-18
19369,65363828,1673567793,15068780.788318997,98724.2663872270068611924984545,19.7448532774454013722384996909,5294.260499207293,5347.540883703296,1415.240569,1416.75,10605.37322492248,1420.8628464774415,1.3108015210126239e-06,1.5883323008979276e-21,0.0
19370,66095556,1673653617,15833793.07423282,37911.8632839142549390354650145,7.5823726567828509878070930029,5288.048468027526,5644.290415843128,1446.294767,1450.264895,10894.857469059583,1453.3272343579868,4.796389672530301e-07,1.713361798079701e-21,5.206448389321487e-18
19371,66835772,1673740611,17079580.82191694,93948.662970406358940653491366,18.7897325940812717881306982732,5248.028059895118,5772.703430392539,1546.109109,1553.095,10982.888921064377,1555.1082183085323,1.1027347765332985e-06,1.6955919000823237e-21,5.298127617583518e-18
19372,67505580,1673826753,16882300.23131875,31281.12995741492523177058568,6.256225991482985046354117136,5205.312801676044,5679.757778180092,1548.91957,1552.828432,10847.68282661251,1556.3047427881625,3.710001775132533e-07,1.7309310904167495e-21,5.622639998285953e-18
19373,68195421,1673913329,17226298.319825366,56074.3384674095710478288732445,11.2148676934819142095657746489,5218.724732658259,5706.002742604909,1576.048804,1577.52,10887.184096611254,1582.2547103972665,6.512557387942856e-07,1.7417741880727514e-21,5.41520152459467e-18
19374,68795249,1673998171,17249941.53319521,552133.328966070846382858824386,110.4266657932141692765717648772,5559.961914689971,5384.047740588472,1575.230473,1577.2,10906.329203446354,1581.645044030424,6.408617980331394e-06,1.846605947506431e-21,5.267218766219245e-18
19375,69033347,1674084818,16352549.061409082,151000.1881973521225236054070235,30.2000376394704245047210814047,5460.412443639855,5258.476161042539,1527.193182,1523.91,10681.94935155757,1530.85813489882,1.8446127035344936e-06,1.9628072951982296e-21,5.3475760707914664e-18
19376,69203883,1674172463,17074077.91174981,2567.113326302428756005546311,0.5134226652604857512011092622,5435.450707029504,5597.046170168301,1545.849309,1549.333332,10994.404097200792,1552.9789300810694,3.0104735956686546e-08,1.8324571898331123e-21,5.3111894815534434e-18
19377,69401362,1674258865,19372410.72959751,22241.4549002390748402134239545,4.4482909800478149680426847909,5429.898877801856,6254.296739765897,1653.559713,1661.857301,11643.716593833242,1663.7652225113025,2.3021925461272164e-07,1.877291766460283e-21,5.750712852533227e-18
19378,69639618,1674345588,19331936.037651263,103773.080040785378664952617882,20.7546160081570757329905235764,5585.967334320237,6305.808212164134,1624.837531,1626.381,11850.537411393427,1631.313025438409,1.0740593169493078e-06,1.8116167760010733e-21,5.982581371177779e-18
19379,69833055,1674431983,19463360.07507555,65475.1470572427773712274628355,13.0950294114485554742454925671,5630.284734088415,6316.312328566794,1627.510862,1630.7,11905.155370459019,1634.8682120832425,6.737878595061238e-07,1.932584992291818e-21,5.860408387045524e-18
19380,70019612,1674517733,19647788.40637561,43324.0563296010170153100373285,8.6648112659202034030620074657,5709.589203036811,6363.612556219667,1626.533972,1628.155,12031.306789990025,1633.0552241193327,4.414248723654268e-07,1.9162676689866937e-21,5.773494678375005e-18
19381,70222574,1674604609,21271373.137527637,8443.587131324181342364606785,1.688717426264836268472921357,6190.395290948701,7484.43458799282,1556.613425,1554.6025,13627.232432208406,1560.94593992923,7.931710609153395e-08,1.634333555581555e-21,4.801259138777911e-18
