day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token1Balance,token0PriceUSD,token1PriceUSD,outputTokenSupply,outputTokenPriceUSD,dailyLPFeeROI,dailyCRVRewardROI,dailyOPRewardROI,dailyLDORewardROI
19448,85472013,1680390131,18612538.149367124,45797.65988346004705409041323,9.159531976692009410818082646,4743.248977235699,4910.717868772928,2034.716201,1824.86,9965.403565195145,1867.7154444976707,4.408597344635315e-07,0.0,5.817878875706786e-19,
19449,85709964,1680479982,17971669.768711813,33434.640332807717939016377983,6.6869280665615435878032755966,4636.960968230278,4841.20382605754,2001.679325,1795.0,9781.67897780594,1837.2786317654143,3.3335055395474457e-07,0.0,5.915876113674681e-19,
19450,85970840,1680566125,18030854.434471026,1036999.0521807536505839565466655,207.3998104361507301167913093331,4593.172463267493,4822.713227718574,2021.517273,1813.435,9715.766051623477,1855.8345619549084,1.031733824505124e-05,0.0,5.898971680153416e-19,
19451,86267226,1680652566,18115943.069763765,294603.0780846901292303967333075,58.9206156169380258460793466615,4499.761277563969,4675.656842884618,2083.015527,1869.87,9470.283488753243,1912.9251084487564,2.9128111756587984e-06,0.0,6.396582721869755e-19,
19452,86609001,1680738743,17811294.681248695,330545.163977700473149722064835,66.109032795540094629944412967,4400.786017621281,4406.743776156446,2131.360845,1913.347384,9099.670677405053,1957.3559651422386,3.326352848161152e-06,0.0,6.659734912305984e-19,
19453,87066706,1680825295,16619371.051886555,36687.6776639209432262097528675,7.3375355327841886452419505735,4210.803015168721,4185.110959691214,2086.302947,1871.96,8676.14552329612,1915.5247001404323,3.955612670911122e-07,0.0,6.921616796550698e-19,
19454,87438578,1680911243,16585735.61263378,8557.143670543501505802574643,1.7114287341087003011605149286,4208.900263310054,4193.764407581966,2080.617081,1866.73,8682.522644615097,1910.2438647735928,9.244017096725132e-08,0.0,6.956831162040346e-19,
19455,87856879,1680998335,16517606.50904877,19597.1771230452681163121080955,3.9194354246090536232624216191,4217.980750792224,4220.821499752929,2064.902704,1849.85,8718.844783329196,1894.471907635188,2.1242508097535555e-07,0.0,6.667949120140906e-19,
19456,88331672,1681084468,16577380.905528128,262573.280250946166249289617468,52.5146560501892332498579234936,4316.565271517425,4107.1994090494245,2072.423802,1858.11,8715.206090820031,1902.1215026675668,2.8402159986189093e-06,0.0,6.510241867703793e-19,
19457,88761452,1681167365,17983140.042816103,725036.942508648375887746469996,145.0073885017296751775492939992,4608.410937023115,4298.525709775106,2122.823394,1907.7,9219.92946746723,1950.4639494553726,7.227316442018935e-06,0.0,6.205639394491245e-19,
19458,89178175,1681248794,17856767.992383048,43558.360753826923092304137427,8.7116721507653846184608274854,4619.163976866483,4267.911171779236,2113.801882,1896.19,9201.70855251189,1940.5926508624852,4.3669035510170546e-07,0.0,6.184590829144549e-19,
19459,89651079,1681341972,18168168.760534972,43362.334555761645009638608291,8.6724669111523290019277216582,4641.644901076561,4271.547635484643,2141.17249,1926.61,9229.735111614184,1968.438805754367,4.280284697987278e-07,0.0,5.810067600015206e-19,
19460,90045114,1681428525,18940405.080578562,153930.0383890976909965736001175,30.7860076778195381993147200235,4602.106421050362,4300.054338291468,2238.84478,2008.58,9214.505699521498,2055.498764471123,1.455463343313992e-06,0.0,0.0,5.820242958506563e-19
