,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
64,15871006,1667255111,6785878.214735866650002530348769806,950829.9808180991084608396130002,2022-10-31 22:26:08
65,15878184,1667341991,6641844.239598185054597274504671932,1952902.2355233805572877336067085,2022-11-01 22:32:32
66,15885406,1667429183,4073024.821126490469612357027230289,5493416.1494941811439084222156741,2022-11-02 22:45:20
67,15892905,1667519735,4553008.947894526493284400916577144,2788266.9596443262413963691509617,2022-11-03 23:55:44
68,15899858,1667603543,4906633.230582210688830481349994796,338637.1749566721933474030207702,2022-11-04 23:13:04
69,15907201,1667692175,4755574.594149962388375956882622747,911634.4857714148195570003674978,2022-11-05 23:49:20
70,15914362,1667778503,4593319.975931369397210487655601662,1055837.7024609312145827033170938,2022-11-06 23:49:20
71,15921488,1667864399,7490405.279860044860599387274791463,655923.8895672037077856958524886,2022-11-07 23:40:48
72,15928705,1667951423,6223463.245302781428278773746990256,5486680.4906722976276965674109394,2022-11-08 23:49:20
73,15935896,1668038363,4787743.400611479775218423737475671,5364111.082782348454051531999659,2022-11-10 00:00:00
74,15942680,1668120227,5823103.710081381248149559660830853,8352523.5134782449920266384678921,2022-11-10 22:43:12
75,15950040,1668209135,5771590.202662347204378344295914956,7110854.1712670375658315799169593,2022-11-11 23:25:52
76,15957329,1668296999,5789558.79681558648723893688324422,7062128.1408231257739014562132429,2022-11-12 23:49:20
77,15964509,1668383495,7404285.189226462453469594540896593,2708977.9823467535609712213192925,2022-11-13 23:51:28
78,15971688,1668470039,5447222.253014518990804643793002503,3579006.8950937368751483414371395,2022-11-14 23:53:36
79,15978768,1668555587,6522925.913927649951888271284836326,2680237.7917910725597561623714093,2022-11-15 23:40:48
80,15985878,1668641495,6652278.087032607214952271331170926,6000482.0251834934832619896336738,2022-11-16 23:32:16
81,15993176,1668729575,5309701.364828756530725258900340739,2447188.3339439777561981568075766,2022-11-18 00:00:00
82,15999800,1668809507,7178089.781452684217323335290527421,395175.0184344895692085465258977,2022-11-18 22:11:12
83,16007370,1668900815,7255064.347221683395523238799793029,162627.0962431343792513367747122,2022-11-19 23:34:24
84,16014600,1668988019,7679808.803663878389973215978982694,949313.6743051960219225126898868,2022-11-20 23:47:12
85,16021762,1669074407,5285803.1697081834305009827205845,1568010.2536237928329939204591717,2022-11-21 23:47:12
86,16028854,1669160099,5405961.824540735142094130521446501,3081227.159260329820760482897989,2022-11-22 23:34:24
87,16036087,1669247651,6818213.859340239350655291045206595,1187508.6727554294199440353990398,2022-11-23 23:53:36
88,16043218,1669333643,6944068.135021206547855271388542826,3018586.1187079267210078131007246,2022-11-24 23:47:12
89,16050050,1669416155,6516910.720342387760032635226169151,1468654.2039278579351769310340235,2022-11-25 22:43:12
90,16057593,1669507163,6454726.997459220380220637227753788,678928.5861445374157551602593228,2022-11-27 00:00:00
91,16064659,1669592435,6449354.576063392048213626204811241,838575.4982422322300471525270325,2022-11-27 23:40:48
92,16071895,1669679567,6582577.065311190511377290433817751,2479803.098215923140449098014989,2022-11-28 23:53:36
93,16079037,1669765847,6630005.558283364022703048132823277,6598273.7801861193649898043754603,2022-11-29 23:51:28
94,16086180,1669852163,7090951.816653110193156653497519295,3978434.2677506374639352900299967,2022-11-30 23:49:20
95,16093368,1669938863,7165552.509297147867333011862092705,1650683.0364454040560638740840332,2022-12-01 23:53:36
96,16100161,1670020763,6763866.85155956919404423588422254,1962482.5334421771087949307619215,2022-12-02 22:38:56
97,16107671,1670111339,7406291.354626143064807304588907892,957251.2775902194483008351237295,2022-12-03 23:49:20
98,16114707,1670196311,7500669.835097271156763544327887891,1004544.0765311405142864635960536,2022-12-04 23:25:52
99,16121836,1670282543,7559068.05200642859506400080120058,1184369.5483890444031669642017775,2022-12-05 23:21:36
100,16128874,1670367323,7849248.603041472539813752146986113,209397.4716754128230485907454896,2022-12-06 22:56:00
101,16136224,1670457047,7875334.806946611991130459259291938,1277821.4701140116985509938325446,2022-12-07 23:51:28
102,16143385,1670543435,7932256.293083445256013389388238566,4708570.9122533164531282853082683,2022-12-08 23:51:28
103,16150484,1670629223,7603941.5681680213013168734763648,5473209.1313025625466015634232152,2022-12-09 23:40:48
104,16157709,1670716331,5631253.354031993343449074023568851,1654054.484591623428805890308325,2022-12-10 23:51:28
105,16164867,1670802719,5612859.317047131286144443665159812,2420766.8539095858915012625532771,2022-12-11 23:51:28
106,16172003,1670888867,7600202.969918739109159785345680936,2938799.6867864694065545946971769,2022-12-12 23:47:12
107,16179081,1670974403,8049651.547836445350534390614778733,2666090.0136575941009192775372811,2022-12-13 23:34:24
108,16186350,1671062075,7564399.207259216719379179465661609,2027390.0201261888466135356492609,2022-12-14 23:53:36
109,16193489,1671148271,6506255.839486128523043733410487231,8278175.3895160568288545567244816,2022-12-15 23:51:28
110,16200657,1671234767,4638014.033091007891390666660318983,9912199.7474395117114164394687914,2022-12-16 23:53:36
111,16207735,1671320135,4473397.697178318598514491547979273,6409134.2156414627510230547051836,2022-12-17 23:36:32
112,16214905,1671406631,7304811.136809841093579261199127497,1361966.3950182767799202929075047,2022-12-18 23:36:32
113,16222105,1671493463,6088523.755738711377666370774474158,3484677.1798345593100701086670508,2022-12-19 23:45:04
114,16229199,1671578987,6353354.617006144368207281213446912,3106241.1267571166766074587840894,2022-12-20 23:30:08
115,16236436,1671666275,6498977.451820034967847591560405396,3088586.8283823699218221671983899,2022-12-21 23:45:04
116,16243571,1671752159,6407509.461075811896494683826545687,5072929.9668116519107380208213477,2022-12-22 23:36:32
117,16250817,1671839351,6482506.537929551581697195117076967,3266231.0710825816223855213769292,2022-12-23 23:49:20
118,16257346,1671918083,6578002.449447423878961572934222393,862782.088731404548738534210623,2022-12-24 21:41:20
119,16265106,1672011611,7462369.879522085989261508016053115,4068520.2713110864004816876347477,2022-12-25 23:40:48
120,16272186,1672097015,7464118.230833764472583057667096659,2106104.9355078879057777397601881,2022-12-26 23:23:44
