day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token0PriceUSD,token1Balance,token1PriceUSD,dailyLPFeeROI,dailyCRVRewardROI,dailyOPRewardROI,outputTokenPriceUSD
19236,21601151,1662076298,6439540.210674869998014261301977812,297082.1230562846320448392333455,59.4164246112569264089678466691,1228390099695965757312,1595.140946,2812423879586804785971,1587.63,9.226811646080247e-06,7.39238380004031e-21,4.707477976876546e-18,1598.732640043878877515399894
19237,21742407,1662160828,7052834.783017408941827265992163133,159408.4667577781005552341060795,31.8816933515556201110468212159,1383659093463107069593,1587.389115,3061659359935530051430,1577.12,4.520408365204281e-06,6.561166946808118e-21,8.831268523311121e-18,1591.555791775731096017177827
19238,21850827,1662249297,7213581.533983304288141112375124544,93261.632581081666400679834148,18.6523265162163332801359668296,1444523600962473297413,1566.972258,3162667815118912019474,1555.33,2.585723392512431e-06,6.1730192834130425e-21,8.395064295275375e-18,1570.608654139390117455738348
19239,21942943,1662333087,7623294.927401288291341577960524563,641.3160480205494250729561935,0.1282632096041098850145912387,1517817792390803103202,1577.301581,3317442623504041286210,1566.81,1.6825166916090134e-08,5.961973264299704e-21,7.751703234587752e-18,1581.524306868222538629010758
19240,22047580,1662421567,6882410.989074001671102794671795102,1086197.9005945813560403551551715,217.2395801189162712080710310343,1161619737724585140167,1620.332657,3078385323162235703069,1616.09,3.1564459091994e-05,6.854990476936948e-21,8.688575021827991e-18,1629.122525228281502855133207
19241,22205832,1662507700,6974957.463624983925440809591320158,400079.5952672216224859844414005,80.0159190534443244971968882801,1305723241372305723722,1583.720902,3102771323400401252237,1563.757702,1.1471886311957365e-05,6.2322841012646076e-21,8.067127108735923e-18,1587.51016036533872239790639
19242,22328582,1662595015,6995628.318150974757259135801260631,1823465.442788326195233420342852,364.6930885576652390466840685704,1227587536821384278547,1640.280498,3018628025064707537241,1625.164984,5.213157017096326e-05,6.994750360498714e-21,8.517539167860463e-18,1653.305076439405612246882989
19243,22442333,1662680141,8033194.442634664913190970241853435,378735.5118599668019451209114185,75.7471023719933603890241822837,1508248937238046092188,1648.517702,3375189273420479295799,1635.89,9.42926290567298e-06,5.869877833256507e-21,7.400992179329352e-18,1650.449144977790337320025208
19244,22569633,1662766439,8918352.827249818136253459292167926,410668.3702062264874687019170515,82.1336740412452974937403834103,1529549677758817611066,1729.122654,3632980618616914346091,1712.817398,9.20951162531805e-06,5.583329018120615e-21,8.185382344806063e-18,1733.515214499731009552850336
19245,22674899,1662853780,9495579.826410255783965203074326275,172161.3481084825715231882457225,34.4322696216965143046376491445,1533266847394659958235,1784.683054,3793083380797988177794,1776.058,3.6261366078908964e-06,5.411146861547182e-21,7.542610912338679e-18,1789.136901552453379644686276
19246,22778888,1662940662,9532271.443294597096011763054749998,205121.6617319955268225744206945,41.0243323463991053645148841389,1652439977366962228098,1775.116259,3722122774648898051416,1764.86,4.303731024703179e-06,5.160521656433867e-21,7.504782308413434e-18,1779.550348947823197454824472
19247,22896880,1663025858,9000979.002024512780029812114331482,109959.0761556251924011297038055,21.9918152311250384802259407611,1714606088933410441842,1730.098334,3491754167082650676998,1712.03,2.4432692517312405e-06,5.289655278566671e-21,7.448800727202548e-18,1734.300454338716300355966685
19248,23045022,1663111315,7925356.370805631821153186252255128,1043443.0441382950491201670305695,208.6886088276590098240334061139,1955302570302848688037,1598.578379,2998353965695246341563,1568.8,2.6331763401378166e-05,5.582735490567769e-21,7.637081292829149e-18,1604.318528030740749319176406
19249,23175454,1663197930,7891856.909866299914500596612236545,1064923.98740687050804561171046,212.984797481374101609122342092,1508754873755903829167,1637.525832,3365838117020299281883,1633.87,2.6987919308965576e-05,5.589512560255818e-21,7.864617859115623e-18,1624.48866307398349553956154
19250,23350951,1663285975,8555977.013309277153353965990183365,2729681.7043654157435436059741955,545.9363408730831487087211948391,2097640074770698700139,1484.076816,3670513726290612841376,1474.78,6.380759789604976e-05,5.040534135390865e-21,7.14032138543169e-18,1487.81023469133458555882967
19251,23474366,1663371534,9201406.972801267120206773254410874,362905.6586183772610924308523175,72.5811317236754522184861704635,2095845121649865469993,1443.865659,4282212246060443238786,1429.166845,7.888047114774985e-06,4.69589417622356e-21,6.447337039716389e-18,1447.438861417210697866596715
