day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token0PriceUSD,token1Balance,token1PriceUSD,dailyLPFeeROI,dailyCRVRewardROI,dailyOPRewardROI,dailyLDORewardROI
19395,72831218,1675813484,12206192.75686844401781620226153528,23830.8865145141932368972283625,4.7661773029028386473794456725,3175761399929216130206,1848.336873,3078183149438557496481,1676.51,3.904720659290673e-07,0.0,2.132666351363923e-18,
19396,73029976,1675900081,12911569.75667649807497104139519488,57804.577966272699210476381436,11.5609155932545398420952762872,3368046251182115407245,1826.772533,3333543151995282477955,1651.963524,8.953919477743174e-07,0.0,1.917092312927111e-18,
19397,73292694,1675986847,12215356.22505979874185880412933209,4540886.5892859031723988160881335,908.1773178571806344797632176267,3355477895348788952975,1712.018074,3414021826311137997949,1546.47,7.434718244188861e-05,0.0,2.191513688133228e-18,
19398,73571558,1676071893,12292925.69823147930853867110151418,4156.087653294371344439290324,0.8312175306588742688878580648,3448407314177818951333,1674.101646,3516828635913165114132,1512.13,6.761755102599028e-08,0.0,1.9721814770990316e-18,
19399,73759603,1676159374,12597210.1522349305775014822795334,254.3710986788498726768342755,0.0508742197357699745353668551,3477765304272693170028,1703.293021,3537998939156698723837,1540.86255,4.038530684251873e-09,0.0,1.9273089212895258e-18,
19400,73956451,1676245757,12530778.98004032407121767707855373,486212.0602880936270440787843605,97.2424120576187254088157568721,3515281594086710897200,1677.385609,3576858497561859245059,1514.21,7.760284672845279e-06,0.0,2.052640407297702e-18,
19401,74179271,1676331955,13052647.42109156921405822999389518,144145.9089599986158472416630095,28.8291817919997231694483326019,3652952338702955884780,1668.788371,3767332650375209286088,1508.67,2.208684634001153e-06,0.0,1.84764588718365e-18,
19402,74382954,1676419095,13207774.68306480074010304059690196,23987.559292844179377979545247,4.7975118585688358755959090494,3582207263576411085755,1725.235232,3685792327768053848202,1557.091371,3.632339265084734e-07,0.0,1.97697826171778e-18,
19403,74588254,1676505188,14359829.39469680400235809955558344,75216.986088627988907042769532,15.0433972177255977814085539064,3625420988811217455441,1854.030555,3724048916545895632589,1677.545119,1.0476027816375898e-06,0.0,2.0373735262950188e-18,
19404,74852562,1676591788,14506674.25866468715067273598941532,26006.669805168342683247605018,5.2013339610336685366495210036,3725500171830591705694,1813.955213,3856203369851226816334,1636.35,3.585476497431495e-07,0.0,1.8792946422395184e-18,
19405,75059476,1676678091,16049832.37974224473520590643143888,220994.972301203975064582524573,44.1989944602407950129165049146,3971741693307883968728,1878.156436,4135941652612734694335,1695.242051,2.7538601908408604e-06,0.0,1.9123757071070347e-18,
19406,75222725,1676764477,16052166.43887293162568372145443859,87403.726367000525443988738761,17.4807452734001050887977477522,4012093561076098258923,1872.345865,4116959477220728519273,1690.99,1.0889960143365844e-06,0.0,2.025514310062478e-18,
19407,75448722,1676851168,16120330.4437637183440971777256277,38794.599491505709523791746789,7.7589198983011419047583493578,4049834960833321417709,1862.539068,4153194570058057361619,1679.4,4.813127079105716e-07,0.0,1.877468570022058e-18,
19408,75641312,1676937096,15425791.60288665141405850909632346,36543.7026215832550545277248275,7.3087405243166510109055449655,3857353124293133824565,1883.33419,3903225746366737873115,1699.71,4.73800030006172e-07,0.0,1.9444883649108415e-18,
19409,75832793,1677023389,14963876.49857797950240918224168767,188459.551972271959774846099383,37.6919103944543919549692198766,3746897283619680209009,1835.387247,3990647319950941823784,1654.044103,2.518860029220119e-06,0.0,1.89940653103609e-18,
19410,76098394,1677110062,14154756.25907452448666639152764331,1074.041492505994422856095897,0.2148082985011988845712191794,3598100337204891178874,1820.699488,3773905585394197548617,1640.7159,1.5175697452471966e-08,0.0,2.0544808572112482e-18,
19411,76408430,1677196666,14236002.19851414464222278079882052,7525.054212267347933891526431,1.5050108424534695867783052862,3599239970007521083597,1830.115267,3773964939128036553506,1650.273678,1.0571864358173197e-07,0.0,2.1232936891633406e-18,
19412,76838104,1677283015,14149845.65582438277065732091689183,102886.7987251936780716112280005,20.5773597450387356143222456001,3646927976446499108972,1783.340422,3880052723488809051465,1607.44,1.454246233178427e-06,0.0,2.0736846432129444e-18,
19413,77124041,1677369319,14218370.72154670173215561627059395,36403.9921537501231732599634855,7.2807984307500246346519926971,3714317407966947158721,1769.12679,3910024861969643226449,1593.82,5.120698125922831e-07,0.0,2.0665046798095892e-18,
