blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
17687984,1689292583,28463760.528498152207061381927359,670328.5495643702747424771285634326,2023-07-13 23:55:44
17695078,1689378803,30520199.4121950513476980824528,686225.2607808353771295563640576397,2023-07-14 23:53:36
17702060,1689464267,29382688.491518499397155913526865,73471.47230026944221433809511030023,2023-07-15 23:38:40
17709090,1689549767,29382688.491518499397155913526865,67630.56222094230878766175245239859,2023-07-16 23:23:44
17716072,1689634319,29382688.491518499397155913526865,209711.7922479493048486052833739577,2023-07-17 22:51:44
17722994,1689718247,29382688.491518499397155913526865,675192.1669690886587477932888712391,2023-07-18 22:11:12
17730316,1689806939,29382688.491518499397155913526865,143185.891349115012196767457857004,2023-07-19 22:49:36
17737257,1689890939,29382688.491518499397155913526865,1700031.361357605986370545847390755,2023-07-20 22:09:04
17741167,1689938291,29382688.491518499397155913526865,7922.040705180977505274708513714164,2023-07-21 11:18:24
17751002,1690057127,29382688.491518499397155913526865,210440.7075924904095093470075505058,2023-07-22 20:18:08
17756052,1690118159,28239392.293093103095872386037525,1417.793165213582076560867922144429,2023-07-23 13:15:44
17766130,1690239947,27983957.92656699429210753143356,1448422.165058611723205622794471369,2023-07-24 23:06:40
17771303,1690302527,27983957.92656699429210753143356,70703.40405743318786485204673506354,2023-07-25 16:27:44
17780678,1690415843,28151575.426526536707699542002332,37842.56271225913034616883426043533,2023-07-26 23:57:52
17785003,1690468163,28151575.426526536707699542002332,182685.5173616145865468038464891048,2023-07-27 14:30:24
17793281,1690568243,28151575.426526536707699542002332,150513.1314413813586349329993921749,2023-07-28 18:16:32
17801868,1690672031,28354096.33581788589271367328525,131691.3328270246463525272066411447,2023-07-29 23:06:40
17809152,1690760135,10127212.62240057095350345552524,4878835.209374319848093416936774459,2023-07-30 23:36:32
17816190,1690845059,6787702.164158483915792731610324,2510775.647734448682040062425974655,2023-07-31 23:10:56
17823152,1690929059,6626166.28605445013561637688191,1052174.639226656659061890330336817,2023-08-01 22:30:24
17829380,1691004251,6582801.27278392037432420737694,275316.1981662984244253196039174198,2023-08-02 19:24:48
17837323,1691100227,6582551.59638897228810705623697,214312.7400124952462277844552120438,2023-08-03 22:04:48
17844439,1691186207,6534340.5638540754408568324728,399172.1586868670361281031717808414,2023-08-04 21:56:16
17851356,1691269715,6534340.5638540754408568324728,394505.2980254212737673752547138765,2023-08-05 21:09:20
17859300,1691365847,6534340.5638540754408568324728,2831339.239561677158701135329445184,2023-08-06 23:51:28
17866438,1691452211,6437000.56032228795688925840658,1985989.708888166498760815658076854,2023-08-07 23:49:20
17873373,1691536091,6561727.252793799067860214604785,513614.7563386417417027338752384791,2023-08-08 23:08:48
17879524,1691610479,6306818.752942773294634634602296,128327.6137262847404420680715957528,2023-08-09 19:48:16
17887327,1691704811,6306818.752942773294634634602296,379785.6399451496820620871728827869,2023-08-10 22:00:32
17893310,1691777015,6265123.348249455947969576266889,0,2023-08-11 18:03:44
17900442,1691863379,6265123.348249455947969576266889,22861.27540801132772899001903398135,2023-08-12 18:03:44
17905200,1691920823,6265123.348249455947969576266889,51576.32985320923533007420437485524,2023-08-13 09:59:28
17915150,1692040967,6265123.348249455947969576266889,38628.39056135529555701237231867818,2023-08-14 19:22:40
17929802,1692218075,6265123.348249455947969576266889,201062.7362669977048700393326181923,2023-08-16 20:35:12
17937696,1692313535,6265123.348249455947969576266889,4726771.087553216524108456288215293,2023-08-17 23:04:32
17942932,1692376931,5738369.649074219595701920612872,306533.6235461303962700897987980321,2023-08-18 16:42:40
17950581,1692469427,5738369.649074219595701920612872,131614.7482868107600903452711881381,2023-08-19 18:22:56
17959173,1692573359,5738369.649074219595701920612872,233983.350550755770513461361995679,2023-08-20 23:15:12
17965807,1692653579,5676114.743720235647045595853302,253325.7271988233877357953198591886,2023-08-21 21:32:48
17973654,1692748355,5503695.638658925938361369977074,822478.5814455993723437344394124115,2023-08-22 23:53:36
17979905,1692823823,5502693.031742481180546957195872,456524.1308423429615271051885286023,2023-08-23 20:50:08
17985113,1692886775,5656761.245659744162558257891088,67663.96055899646974466273166236428,2023-08-24 14:19:44
17993598,1692989363,5026888.714583372540124527419425,432433.5539997331817272655857755437,2023-08-25 18:48:32
18000829,1693076867,5026888.714583372540124527419425,3927.014455762437528994737232862824,2023-08-26 19:07:44
18007040,1693151891,5026888.714583372540124527419425,1632.208852453583534704375,2023-08-27 15:57:52
18013085,1693225007,5008423.585653793666140342792568,1013879.580189093594626391782028659,2023-08-28 12:16:00
18023618,1693352579,5008423.585653793666140342792568,34069.0120302187835880834563905,2023-08-29 23:42:56
18030761,1693439015,5008423.585653793666140342792568,1236331.4664279414842531789322875,2023-08-30 23:42:56
18037136,1693516079,5008423.585653793666140342792568,256913.413012642131673382885291,2023-08-31 21:07:12
18045036,1693611659,4984226.83802536538095391242878,107787.3345934018604034489607805,2023-09-01 23:40:48
18051534,1693690487,4984226.83802536538095391242878,5412.17430170520100628250751,2023-09-02 21:34:56
18057891,1693767371,4954473.69337098798350574916294,5479.06131723597646378055963,2023-09-03 18:57:04
18064758,1693850315,4954473.69337098798350574916294,65165.048491821091292297092802,2023-09-04 17:59:28
18069843,1693911647,4954473.69337098798350574916294,5617.173010921122530140346712,2023-09-05 11:01:20
18079797,1694032295,4954473.69337098798350574916294,548899.047899412052942755405244,2023-09-06 20:30:56
18087692,1694127647,4954473.69337098798350574916294,518281.264056888888298762835162,2023-09-07 23:00:16
18094513,1694210207,4954473.69337098798350574916294,195832.348814380040143079265,2023-09-08 21:56:16
18097312,1694244011,4954473.69337098798350574916294,53829.3889304033762329062525,2023-09-09 07:19:28
18107489,1694367191,4954473.69337098798350574916294,12285.4218620939072750367825,2023-09-10 17:33:52
18115966,1694469791,4954473.69337098798350574916294,3534121.52609553304475913546,2023-09-11 22:02:40
18120203,1694521115,4875456.827124734233314236768688,210581.43470120205255481871675,2023-09-12 12:18:08
18127987,1694615411,4875456.827124734233314236768688,118888.30172259789268255694965,2023-09-13 14:30:24
18134009,1694688311,4875456.827124734233314236768688,1576.63163386838948311788055,2023-09-14 10:44:16
18148369,1694863175,4875456.827124734233314236768688,24845.19435562204241227973325,2023-09-16 11:20:32
18161473,1695023579,4875456.827124734233314236768688,9986.26705914115892438449,2023-09-18 07:53:36
18170414,1695132023,4875456.827124734233314236768688,41735.24502132048715799242,2023-09-19 14:00:32
18177236,1695214535,4875456.827124734233314236768688,58798.885980880505368676155,2023-09-20 12:56:32
18185775,1695317783,4875456.827124734233314236768688,415792.87451286176700329692,2023-09-21 17:36:00
18193235,1695408203,4875456.827124734233314236768688,37553.6571782165563578602366,2023-09-22 18:44:16
18199391,1695482687,4875456.827124734233314236768688,45188.27680453529124173988688,2023-09-23 15:23:44
18205782,1695560027,4875456.827124734233314236768688,2196.20013689426817175591872,2023-09-24 12:54:24
18215324,1695675383,4875456.827124734233314236768688,69935.66885617877053747741472,2023-09-25 20:56:32
18221693,1695752375,4875456.827124734233314236768688,46017.63936297822371777458528,2023-09-26 18:18:40
18226412,1695809423,4875456.827124734233314236768688,23906.19879946248992984613792,2023-09-27 10:10:08
18237550,1695944207,4875456.827124734233314236768688,486216.754815915257363720655015,2023-09-28 23:36:32
18242969,1696009823,5018635.695702648177606488464905,326938.67935703571374871371964,2023-09-29 17:50:56
18248514,1696076807,5088617.843660783044170738054168,0,2023-09-30 12:26:40
18258866,1696201703,5088617.843660783044170738054168,105550.52458615335451891673766,2023-10-01 23:08:48
18266254,1696290743,5237739.344353689837849384267262,27287.47168821335587449563909,2023-10-02 23:51:28
18273042,1696372859,5237739.344353689837849384267262,561050.976895062539403347874685,2023-10-03 22:41:04
18280434,1696462091,5237739.344353689837849384267262,42908.6762227128169262954975,2023-10-04 23:28:00
18284618,1696512611,5237739.344353689837849384267262,48879.281151417704992209935,2023-10-05 13:30:40
18294245,1696628963,5237739.344353689837849384267262,13398.19923842478579222689525,2023-10-06 21:49:52
18301052,1696711175,4950986.295993283870833086566628,46789.453394531101503381275,2023-10-07 20:39:28
18308003,1696795235,4950986.295993283870833086566628,844496.5718510052280099525774375,2023-10-08 20:01:04
18315855,1696890119,4950986.295993283870833086566628,1663916.3845213073057099328108,2023-10-09 22:21:52
18322640,1696972163,4950986.295993283870833086566628,118680.488710666197598319016925,2023-10-10 21:09:20
18330474,1697066987,4719455.961942963677353251428424,52849.098021594993133412564825,2023-10-11 23:30:08
18337517,1697152139,4726187.615118157368926355863275,104886.6229929700501423278301925,2023-10-12 23:08:48
18344190,1697232971,4726187.615118157368926355863275,32408.7609599606593799940008475,2023-10-13 21:37:04
18351927,1697326415,4726187.615118157368926355863275,8787.813809307703680888120435,2023-10-14 23:34:24
18358971,1697411483,4726187.615118157368926355863275,49290.745099467042322408826415,2023-10-15 23:10:56
18365710,1697492735,1625470.202658659211941373876992,114747.413126377697754368358375,2023-10-16 21:45:36
18373512,1697587007,1625470.202658659211941373876992,69078.66239489494075922978129,2023-10-17 23:55:44
18379716,1697662043,1625470.202658659211941373876992,7223.79991002555966822761808,2023-10-18 20:48:00
18387359,1697754467,1625470.202658659211941373876992,68567.62633263447948354748923,2023-10-19 22:28:16
18394806,1697844383,1400180.292730393924175442466483,280900.2107788509327687300546,2023-10-20 23:25:52
18401556,1697925995,1400180.292730393924175442466483,1221818.290550127378799861575915,2023-10-21 22:06:56
18408902,1698014771,1400180.292730393924175442466483,18473.39916387090838689422238,2023-10-22 22:45:20
18415446,1698094031,1400180.292730393924175442466483,21950.33884093234721055759717,2023-10-23 20:48:00
18422955,1698184823,1400180.292730393924175442466483,368537.63291954265822139503204,2023-10-24 22:00:32
18429609,1698265475,1400180.292730393924175442466483,101451.16543903997077045293423,2023-10-25 20:24:32
18437505,1698360947,1582335.35149068921400019437605,371704.95320679717912926432175,2023-10-26 22:56:00
18444286,1698442811,1582335.35149068921400019437605,28383.557944114790969111189275,2023-10-27 21:39:12
18451868,1698534479,1582335.35149068921400019437605,4179.521400214488947935479655,2023-10-28 23:08:48
