day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token1Balance,token0PriceUSD,token1PriceUSD,outputTokenSupply,outputTokenPriceUSD,dailyLPFeeROI,dailyLDORewardROI,dailyCRVRewardROI
18669,11838271,1613085981,402280229.90038824,866851.417962474276341598699559,173.3702835924948552683197399118,117510.99255377727,113570.04794342187,1738.180079,1743.637228,230640.55996635725,1744.1868418940167,4.254230027863934e-07,1.5213879657672525e-17,1.642040304032255e-18
18670,11844781,1613171829,418433234.7316884,3317836.2644475705737720630537235,663.5672528895141147544126107447,117386.9984840396,115751.85936083265,1738.180079,1852.181845,232682.83916730285,1798.2986464714224,1.6139964825681315e-06,1.5362299101100776e-17,1.6355868791372065e-18
18671,11851363,1613260628,429364786.4915559,6695188.4542303222444586697056815,1339.0376908460644488917339411363,120068.93588055628,119136.98141083156,1738.180079,1852.181845,238721.34665691663,1798.6023977513269,3.1745599925645904e-06,1.6721063716723037e-17,1.5727051874456687e-18
18672,11857890,1613346555,430756323.39446664,2507094.3164659201254509290856185,501.4188632931840250901858171237,121371.8458574524,120139.7942372837,1738.180079,1829.453764,241003.98345420972,1787.3410937886406,1.1774932873563743e-06,1.6343219119210472e-17,1.391977329858189e-18
18673,11864349,1613432454,425217041.50314856,664256.2737883539348528668508905,132.8512547576707869705733701781,121615.55488304715,119971.36625009781,1738.180079,1782.31951,241061.29979508207,1763.9373962747688,3.119034363415231e-07,1.651231278830499e-17,1.278158761120745e-18
18674,11870888,1613519403,423249182.31496614,4688229.6008458412082295997603655,937.6459201691682416459199520731,121304.5803648496,119170.53931218541,1738.180079,1782.31951,239934.24271537765,1764.021581600781,2.2117122711777504e-06,1.6575826680348953e-17,1.2263640687315206e-18
18675,11877365,1613605021,431128620.719901,2465808.5493387702522578498704145,493.1617098677540504515699740829,121901.79126391425,117967.50741650928,1789.336493,1805.626835,239306.23703372933,1801.5770339455676,1.166318930708506e-06,1.4961424539570507e-17,1.2572586302681085e-18
18676,11883908,1613692668,482671340.0701414,6613160.8266367692865048710512805,1322.6321653273538573009742102561,135388.7749900282,133147.81303519904,1789.336493,1805.626835,267885.6446589666,1801.7812812799618,2.7942909978029516e-06,1.2365162775202928e-17,2.991333324576749e-18
18677,11890464,1613778641,497675358.1512177,5536903.1592104677494537242082565,1107.3806318420935498907448416513,135452.67869084855,131325.12951036077,1789.336493,1944.067659,266102.52102616057,1870.2391703470228,2.1415395336069795e-06,9.441462548946047e-18,2.571360048178619e-18
18678,11896993,1613865595,499637896.48302305,2836333.1577630597493203103975655,567.2666315526119498640620795131,134482.3125383124,127725.20649840431,1789.336493,2027.82046,261510.63119622302,1910.5834978774633,1.1162874712906746e-06,8.40980822209136e-18,2.9063911686332322e-18
18679,11903283,1613949533,497413287.17269814,2500703.46737613094455603872764,500.140693475226188911207745528,134946.19440854646,126218.83543181799,1789.336493,2027.82046,260437.38072755685,1909.915104287742,9.882504817081595e-07,8.431989544789472e-18,2.8924449463593583e-18
18680,11909508,1614032412,485114740.06069076,1122624.1787766365946278824593315,224.5248357553273189255764918663,135145.73871017527,127838.18417171102,1789.336493,1903.136684,262228.80112359225,1849.9674253250662,4.4061792366544435e-07,7.78267154838258e-18,2.56902889185038e-18
18681,11916445,1614124331,417446393.64129627,1381062.839825534422530374708812,276.2125679651068845060749417624,131595.40380135793,119080.54198488072,1789.336493,1528.192031,249931.45430259965,1670.2435265946203,5.687228544172204e-07,6.16830218154986e-18,2.20105011984373e-18
18682,11922864,1614210195,409855352.2173179,764430.1969427959560203656095825,152.8860393885591912040731219165,129957.90101435054,116030.53397852638,1789.336493,1528.192031,245248.38891587284,1671.1846876103634,3.208040398700325e-07,5.938873563537859e-18,2.2820799467186405e-18
18683,11929329,1614295767,415231425.25159943,1284007.5825676548347824820816795,256.8015165135309669564964163359,130025.28785234538,114384.54284570059,1789.336493,1596.128534,243586.49747873942,1704.656988583045,5.425284720229679e-07,6.3153153351914115e-18,2.1382482174502985e-18
18684,11935946,1614383329,398760074.490919,896509.628487080341389105597154,179.3019256974160682778211194308,126383.50850103048,111494.93950127185,1789.336493,1548.208837,237052.04077662315,1682.1625883688348,3.8924175055378475e-07,5.538761815726248e-18,2.089555985882945e-18
18685,11942491,1614470343,341212726.49305075,7982170.502859722435971146586123,1596.4341005719444871942293172246,129248.65367545195,99365.4883351308,1449.718771,1548.208837,227651.16451933805,1498.840241882734,3.6087706448591018e-06,5.888897866083138e-18,2.2317293695854698e-18
18686,11948914,1614556264,326594652.23511755,509105.647080516798863880484141,101.8211294161033597727760968282,129374.07623006865,102073.98612638288,1449.718771,1362.135748,230478.550674201,1417.0284014705733,3.1419770151748056e-07,6.405589699737554e-18,2.4634676364470734e-18
18687,11955402,1614642819,343618401.5781481,654281.947506644202678449546937,130.8563895013288405356899093874,129057.30214715724,102317.74854520713,1449.718771,1529.760089,230383.00577306043,1491.50932563416,4.039616163027568e-07,6.465733809998726e-18,2.660729939051156e-18
18688,11961975,1614729516,338740043.1547285,804358.4576100575517326155515855,160.8716915220115103465231103171,128857.54390953878,99318.08527141759,1449.718771,1529.760089,227133.1569857559,1491.3720552740424,5.037263842430989e-07,7.13803166295917e-18,3.3930653766853757e-18
18689,11968374,1614815702,343112286.3501934,3099878.1560676936415087672742125,619.9756312135387283017534548425,130153.62894712987,97988.59208404437,1449.718771,1575.960263,227037.925218866,1511.255381758052,1.942101027722926e-06,6.755173922935451e-18,3.1894014576320417e-18
18690,11974897,1614902276,325870907.72400135,1912302.5512929892556845494759945,382.4605102585978511369098951989,129463.32876573375,90552.23756267615,1449.718771,1526.030649,218803.16059462406,1489.333640512357,1.2431645491787467e-06,5.524283384415187e-18,2.747285103511894e-18
18691,11981356,1614987728,311092126.3055711,646048.284511871606007357516992,129.2096569023743212014715033984,124558.62760822699,85527.2113030317,1449.718771,1526.030649,208867.85618442006,1489.420784933475,4.3996585413294376e-07,6.608360122898727e-18,2.9766643958207514e-18
18692,11987971,1615074764,311104559.14131385,721057.8234938767232251025396985,144.2115646987753446450205079397,123160.80965660734,84451.55542270651,1449.718771,1569.610185,206377.7534388135,1507.4520095187952,4.96973024915382e-07,7.089661452063158e-18,2.9757542147216403e-18
18693,11994408,1615160569,311826091.5025313,4196928.8126096234538827312174465,839.3857625219246907765462434893,123680.36934386307,78886.56268020316,1449.718771,1679.935517,201196.19749743477,1549.860759702017,2.9671358984096886e-06,6.2718164681335035e-18,3.156406597083299e-18
18694,12000830,1615245937,304769056.20965666,3959565.73061390560188977122577,791.913146122781120377954245154,108827.10201334389,81098.00948466256,1548.599812,1679.935517,188866.6937531827,1613.6728512224554,2.982069650077825e-06,7.076287124125576e-18,3.628789077119394e-18
18695,12007364,1615333799,317507495.7161584,718711.6177264925952862684992775,143.7423235452985190572536998555,108906.3137657184,81476.41705268588,1548.599812,1826.972811,189303.6202313848,1677.2394280049725,5.400343057478748e-07,7.025025576530706e-18,3.719963477246713e-18
18696,12013892,1615420146,309625712.56706893,2214740.8267643165411227482475,442.9481653528633082245496495,108936.9831889978,77136.29892696845,1548.599812,1826.972811,184942.7850531177,1674.170270974025,1.3367815271802938e-06,5.227820999320885e-18,2.7513867040333344e-18
18697,12020309,1615506454,315770686.0813334,1232665.9539924154297187611492425,246.5331907984830859437522298485,110265.79230983798,81224.26660327196,1548.599812,1785.342077,190348.27522137333,1658.910151479413,7.228885940145891e-07,4.8623499623857725e-18,3.662821006083895e-18
18698,12026806,1615593356,315957162.94764113,1371574.7775062016314387582602315,274.3149555012403262877516520463,110449.44455037052,83211.49913071429,1548.599812,1741.528219,192512.88950154642,1641.2260174667583,7.953066151564573e-07,4.667395465349167e-18,3.4061066212483805e-18
18699,12033144,1615677578,321261122.8588054,282936.93520145828215432719471,56.587387040291656430865438942,110561.13620441682,86157.75873232586,1548.599812,1741.528219,195569.3460882454,1642.6967174796657,1.614967468926371e-07,4.444586177274026e-18,3.7487055646245904e-18
18700,12039765,1615765075,335570296.1803479,375454.9778089568079873881701645,75.0909955617913615974776340329,111365.57880186729,85536.5475459929,1548.599812,1906.89929,195710.46318459243,1714.6262428689922,2.1415032563713944e-07,4.341692390909824e-18,3.58104951861127e-18
18701,12045825,1615846401,329532029.0610075,342372.916925245233609752585383,68.4745833850490467219505170766,112796.92895047636,87291.40144066827,1548.599812,1773.997479,198862.40426498983,1657.0856129341405,1.9218594982487226e-07,4.036065858465082e-18,3.713473357344477e-18
18702,12052565,1615935529,330160121.5019576,337244.8777449772097822930388115,67.4489755489954419564586077623,112828.2939737653,87618.07640985036,1548.599812,1773.997479,199222.13154345812,1657.2462052487215,1.889655765708829e-07,4.558476642931372e-18,3.9290875282293036e-18
18703,12059264,1616025170,347913426.70775664,981362.9268860055977258903105735,196.2725853772011195451780621147,114703.6908644451,86671.19425265718,1698.325986,1766.551957,200111.203666948,1738.6004398174578,5.47435756564744e-07,4.5838796139356566e-18,3.849183430238419e-18
18704,12065744,1616111278,351990096.29120743,244226.7207643029609302149674075,48.8453441528605921860429934815,114866.1921307846,86337.78342144813,1698.325986,1817.395016,199865.57835713768,1761.1341541875713,1.364049374847052e-07,4.4462955074535205e-18,4.52493044702025e-18
18705,12072300,1616198303,352197183.38848424,388395.578914685357357362076582,77.6791157829370714714724153164,114771.84671794371,86539.8948833651,1698.325986,1817.395016,199952.5277729191,1761.4040057971433,2.2142455225686873e-07,4.343405856162133e-18,4.7367631818236746e-18
