,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
266,15899932,1667604431,2055381.521013205715873374579475575,677999.5340286638130620552740909,2022-11-04 23:28:00
267,15907226,1667692475,2002936.873255375203622398274282338,1537405.1480198793226592084589434,2022-11-05 23:53:36
268,15914386,1667778791,1802606.411489092747636264264731294,974758.4086725727039142656187103,2022-11-06 23:53:36
269,15921496,1667864495,1824480.194334976069629077829940335,462495.7869020889404989721998462,2022-11-07 23:40:48
270,15928745,1667951903,1636966.052201962309323929510438787,2094790.3707923665029234279236813,2022-11-08 23:57:52
271,15935877,1668038135,1365955.255426710945627594095570591,2688798.3534646843814664717571615,2022-11-09 23:55:44
272,15943013,1668124235,1966420.192382397723700483698910967,1865670.0906991510089000273448356,2022-11-10 23:51:28
273,15950204,1668211115,2305190.6704380327625038908143808,5815420.4594671196956220949949514,2022-11-11 23:57:52
274,15957286,1668296483,1760336.666700206445415022281020557,1073582.9557780518055306351416061,2022-11-12 23:40:48
275,15964261,1668380507,1698614.469455040991993693993990341,746360.2492560449492296395855583,2022-11-13 23:02:24
276,15971557,1668468443,1816883.405405696403393211291162477,1057479.2132504374344665022528821,2022-11-14 23:28:00
277,15978696,1668554723,1820148.130272041842348168168717127,1609655.1964588026779174334761502,2022-11-15 23:25:52
278,15985962,1668642503,1827123.347736461694650620055147463,1530725.8866449834719067276653561,2022-11-16 23:49:20
279,15993078,1668728387,1862787.320038702637610174876124712,1426233.6056292671425386651754412,2022-11-17 23:40:48
280,16000298,1668815519,1880144.692009951904115483740042016,988775.5685365118220378699902817,2022-11-18 23:51:28
281,16007407,1668901259,1906906.630797241549997630721830273,1426125.0746803302133528509422811,2022-11-19 23:40:48
282,16014560,1668987539,1818402.319562225337614485255160666,1479594.2346596973252526068058903,2022-11-20 23:38:40
283,16021756,1669074335,1724615.69760347294960011310432116,2101065.4226690967242976786388519,2022-11-21 23:45:04
284,16028853,1669160087,1762972.866891688770640220742209719,1917588.297567547483554320493731,2022-11-22 23:34:24
285,16036076,1669247519,1836031.612195423326500093266112333,1481090.6512228564451327421639551,2022-11-23 23:51:28
286,16043260,1669334147,1871068.062967688277437323839258359,1992191.5402473796184440712519221,2022-11-24 23:55:44
287,16050188,1669417811,1865445.596767303787290611957925626,562599.6359576910648795145343494,2022-11-25 23:10:56
288,16057522,1669506311,1873712.751802423878160891811526583,821463.9430288415701839517969979,2022-11-26 23:45:04
289,16064740,1669593407,1900038.09070968890664937168831071,503786.631555932605290440464631,2022-11-27 23:55:44
290,16071803,1669678463,1833222.903737281264585710339375551,633958.715264856168595429947978,2022-11-28 23:34:24
291,16079026,1669765715,1947460.222471718179183731629534961,558331.2299304951411776310434437,2022-11-29 23:49:20
292,16086196,1669852355,2051456.548846004750329870254719254,1094112.5183890956218883257775762,2022-11-30 23:53:36
293,16093276,1669937747,2015062.831689736496753226502481213,1350384.6766941100431142003158186,2022-12-01 23:36:32
294,16100556,1670025515,2042290.134631592212452044557792814,925552.9627892033169658955805454,2022-12-02 23:57:52
295,16107579,1670110235,1960833.795635049678805226307533894,735999.2452060762719133067509104,2022-12-03 23:30:08
296,16114815,1670197607,2036536.073006017725581660394164133,509306.5042445313019932141397982,2022-12-04 23:47:12
297,16121752,1670281535,2073347.671463854563866390524613004,2393560.0591790422577128815244579,2022-12-05 23:04:32
298,16129112,1670370179,2167438.059320824848735807698345366,830093.745988532217007586141903,2022-12-06 23:42:56
299,16136208,1670456855,2043385.557787782269173164066517631,743467.8286843524482031384425189,2022-12-07 23:47:12
300,16143200,1670541203,2328784.499964243113836768405483797,1624424.312268506802682129371768,2022-12-08 23:13:04
301,16150522,1670629679,2044690.291309977052794681274261011,456990.8245178589509388057655355,2022-12-09 23:47:12
302,16157658,1670715719,2319770.822403645534141025572656044,890219.0801633473188547737489323,2022-12-10 23:42:56
303,16164721,1670800955,2210028.693846162221625062432105211,699730.1749912916231178415294178,2022-12-11 23:21:36
304,16171943,1670888147,2229639.015255856374179062809750781,466513.2144969882951542925061218,2022-12-12 23:36:32
305,16178994,1670973359,2178326.521466904481312576563113285,698753.6581133126005665594725124,2022-12-13 23:15:12
306,16186350,1671062075,2162642.210405690965581154266375543,661196.1431755922776028649519107,2022-12-14 23:53:36
307,16193499,1671148391,2073164.943532193767585822972485964,327123.9345841895783790093770228,2022-12-15 23:53:36
308,16200615,1671234263,1908545.958291962204266100287801702,2107771.7061959529144916934707917,2022-12-16 23:45:04
309,16207711,1671319847,1950356.651631170727425422785956821,2562889.1076173632929255250995002,2022-12-17 23:30:08
310,16214764,1671404927,2009995.327900528213328282659788377,227925.0309595429181575265980488,2022-12-18 23:08:48
311,16222080,1671493163,2082742.746305831203914310347759215,461466.3763023193058902859561099,2022-12-19 23:38:40
312,16229317,1671580403,2217204.376961610058348164201880207,3362441.8858420433311386528591947,2022-12-20 23:53:36
313,16236434,1671666251,2261649.352542138466690879320171152,287177.8729174925152316273895077,2022-12-21 23:45:04
314,16243487,1671751151,2269066.119439536050691819493297297,744623.5627851128158262095451847,2022-12-22 23:19:28
315,16250835,1671839567,1902529.099769104498741737756003908,816146.6929202951577834512761836,2022-12-23 23:53:36
316,16257958,1671925451,1988669.542480059350039105938750216,430446.3377883033111839708617699,2022-12-24 23:45:04
317,16265130,1672011899,1974366.856403957785419928815497591,267341.8524088969247321517939888,2022-12-25 23:45:04
318,16272302,1672098419,1983885.046902617557494321808275708,904437.4923465890436080069545847,2022-12-26 23:47:12
319,16279376,1672183823,1941511.399892081543176232952771106,276785.9269380257571162903430413,2022-12-27 23:30:08
320,16286242,1672266551,1923981.141487502326924045129701508,424442.4063550116633524833572804,2022-12-28 22:28:16
321,16293830,1672358075,1915833.562597489864844331213931979,680779.2010848262040714401304027,2022-12-29 23:53:36
322,16300964,1672444091,1910085.586739914124338639381458483,2259386.2237946100969807176284845,2022-12-30 23:47:12
