timestamp,day,blockNumber,totalValueLockedUSD,dailyLDORewardAmount,dailyLDORewardUSD,dailyLDORewardROI,dailyCRVRewardAmount,dailyCRVRewardUSD,dailyCRVRewardROI
1656373074,19170,15036880,23705219.991996260503858711474407,0.0,0.0,0.0,0.0,0.0,0.0
1656452702,19171,15041762,23565831.447867648243216651161324,0.0,0.0,0.0,0.0,0.0,0.0
1656542555,19172,15047298,22165154.12630329778744419390605,0.0,0.0,0.0,0.0,0.0,0.0
1656629818,19173,15052977,19722205.559494213241496753000006,0.0,0.0,0.0,0.0,0.0,0.0
1656715433,19174,15059320,19712040.467639960085634185215493,0.0,0.0,0.0,0.0,0.0,0.0
1656806338,19175,15066163,20127857.18865975732734067700359,0.0,0.0,0.0,0.0,0.0,0.0
1656889631,19176,15072467,20407678.789111294335169580420544,0.0,0.0,0.0,0.0,0.0,0.0
1656977794,19177,15079043,21272319.831818817945156933429294,0.0,0.0,0.0,0.0,0.0,0.0
1657064138,19178,15085516,21664502.752877199488560781865731,0.0,0.0,0.0,0.0,0.0,0.0
1657150403,19179,15091973,20941268.54313392597662067247375,0.0,0.0,0.0,0.0,0.0,0.0
1657211370,19180,15096499,21840224.28951200326996928355066,0.0,0.0,0.0,0.0,0.0,0.0
1657319374,19181,15104675,23158753.537093319992497380615143,0.0,0.0,0.0,0.0,0.0,0.0
1657370146,19182,15108375,22642268.04404613926868115952932,0.0,0.0,0.0,0.0,0.0,0.0
1657493513,19183,15117667,22115972.179382586205652712658768,0.0,0.0,0.0,0.0,0.0,0.0
1657554587,19184,15122202,22060208.143635509843869378261952,0.0,0.0,0.0,0.0,0.0,0.0
1657668549,19185,15130838,22060208.143635509843869378261952,0.0,0.0,0.0,0.0,0.0,0.0
1657755189,19186,15137246,19687791.3340780752219221437299,0.0,0.0,0.0,0.0,0.0,0.0
1657839061,19187,15143605,19389551.067869416435012767290634,0.0,0.0,0.0,0.0,0.0,0.0
1657921676,19188,15149798,21332107.289995469580501487451952,0.0,0.0,0.0,0.0,0.0,0.0
1658014952,19189,15156735,21062419.79829150052975085091894,0.0,0.0,0.0,0.0,0.0,0.0
1658099030,19190,15162972,22912412.124849998263824314747775,0.0,0.0,0.0,0.0,0.0,0.0
1658183759,19191,15169302,24832434.60944379760156660294723,0.0,0.0,0.0,0.0,0.0,0.0
1658270876,19192,15175868,25134752.662907117393794685107872,0.0,0.0,0.0,0.0,0.0,0.0
1658359915,19193,15182474,24336750.53619274839480723622761,0.0,0.0,0.0,0.0,0.0,0.0
1658433303,19194,15187963,24336750.53619274839480723622761,0.0,0.0,0.0,0.0,0.0,0.0
1658520981,19195,15194531,25021796.688199084109830802717706,0.0,0.0,0.0,0.0,0.0,0.0
1658619121,19196,15201888,24982711.677366862966791886218774,0.0,0.0,0.0,0.0,0.0,0.0
1658698023,19197,15207720,25560141.441079423649529580621704,0.0,0.0,0.0,0.0,0.0,0.0
1658739571,19198,15210739,25560141.441079423649529580621704,0.0,0.0,0.0,0.0,0.0,0.0
