timestamp,day,blockNumber,totalValueLockedUSD,dailyCRVRewardAmount,dailyCRVRewardUSD,dailyCRVRewardROI
1673419283,19368,16381843,3104840.740412304962242566430848,2.037281410782847e+19,13.352770195367045,4.3006296656600406e-06
1673551271,19369,16392769,3253372.003452077355106883063725,2.0150155532725998e+19,13.125206809351731,4.034339385543639e-06
1673725271,19371,16407200,3548859.61572077725626907448295,2.0150155532725998e+19,16.242395569953377,4.576792921873448e-06
1673812811,19372,16414446,3561027.655507787283622731121738,2.0150155532725998e+19,16.242395569953377,4.5611540098071165e-06
1673911091,19373,16422585,3613965.639845280087618034724115,2.0150155532725998e+19,17.43746099428829,4.825021245922753e-06
1673993807,19374,16429452,3594878.63412236901288705399579,2.0150155532725998e+19,18.63456158433201,5.1836413634257035e-06
1674037295,19375,16433059,3588332.55141559095044522816064,2.0150155532725998e+19,18.83501533157157,5.248960362980066e-06
1674165875,19376,16443713,3588332.55141559095044522816064,2.0150155532725998e+19,18.83501533157157,5.248960362980066e-06
1674256979,19377,16451272,3588332.55141559095044522816064,2.012224325828373e+19,20.55135009576663,5.72727020177078e-06
1674297395,19378,16454619,3735409.570930834330932108160011,2.012224325828373e+19,20.55135009576663,5.501766193377664e-06
1674425147,19379,16465212,3525035.900420984086114012176352,2.012224325828373e+19,21.445723441867564,6.083831214117952e-06
1674512459,19380,16472454,3709978.11947512714549156902756,2.012224325828373e+19,21.445723441867564,5.780552539997626e-06
1674604415,19381,16480079,3709978.11947512714549156902756,2.012224325828373e+19,21.445723441867564,5.780552539997626e-06
1674646451,19382,16483566,3709978.11947512714549156902756,2.012224325828373e+19,21.445723441867564,5.780552539997626e-06
1674731099,19383,16490575,3709978.11947512714549156902756,2.012224325828373e+19,21.445723441867564,5.780552539997626e-06
1674786419,19384,16495167,3709978.11947512714549156902756,2.012224325828373e+19,21.445723441867564,5.780552539997626e-06
1674927371,19385,16506847,3585701.50792719352957001188932,2.012224325828373e+19,21.445723441867564,5.980900360628405e-06
